2032,FingerPrint database not available. Please set save path first.,指纹数据库不可用，请先设置保存路径
2033,FingerPrint database not available. Please set save path first.,指纹数据库不可用，请先设置保存路径
2034,FingerPrint database not available. Please set save path first.,指纹数据库不可用，请先设置保存路径
2035,FingerPrint database not available. Please set save path first.,指纹数据库不可用，请先设置保存路径
2036,FingerPrint database still not available after reinitialization,数据库重新初始化后仍不可用
2037,Failed to reinitialize database,重新初始化数据库失败
3001,Invalid wallet count,钱包数量无效
3002,Save path fetch failed,获取保存路径失败
3003,Insert wallet error,插入钱包错误
3004,Wallet not found,钱包未找到
3005,Wallet updated,钱包已更新
3006,Wallet export failed,钱包导出失败
3007,Import file format error,导入文件格式错误
3008,No wallet updated,没有钱包被更新
3009,Open-wallet dispatch failed,打开钱包任务分发失败
3010,Wallet not bound to fingerprint environment,钱包未绑定指纹环境
3011,Some wallets are not initialized,部分钱包未初始化
3012,Wallet database not available. Please set save path first.,钱包数据库不可用，请先设置保存路径
3013,Wallet database not available. Please set save path first.,钱包数据库不可用，请先设置保存路径
3014,Wallet database not available. Please set save path first.,钱包数据库不可用，请先设置保存路径
3015,Wallet database not available. Please set save path first.,钱包数据库不可用，请先设置保存路径
3016,Wallet database not available. Please set save path first.,钱包数据库不可用，请先设置保存路径
3017,Wallet database still not available after reinitialization,钱包数据库重新初始化后仍不可用
3018,Failed to reinitialize wallet database,重新初始化钱包数据库失败
4001,IP address or port is missing,IP地址或端口缺失
4002,Proxy creation failed: URL is empty,代理创建失败：URL为空
4003,Invalid proxy URL,代理URL无效
4004,Proxy request failed,代理请求失败
4005,No IP found in proxy response,代理响应未找到IP
4006,Proxy check exception,代理检测异常
4007,Proxy check failed: unknown error,代理检测失败：未知错误
wallet.alert.setSavePath,Please set the data storage path in browser settings,请先在浏览器管理配置数据存储路径
wallet.modal.create.title,Create New Wallet,新建钱包
wallet.modal.create.countLabel,Quantity,新建数量
wallet.modal.create.countPlaceholder,Please enter the quantity,请输入新建数量
wallet.modal.create.createButton,Create,创建
wallet.modal.create.invalidNumber,Please enter a valid quantity,请输入有效的数量
wallet.modal.create.successCreated,Successfully created {{count}} wallets,成功创建{{count}}个钱包
wallet.modal.create.failedGeneric,Create wallet failed; please check the input quantity,创建钱包失败，请检查输入的数量是否正确
wallet.open.notBound,Wallet not bound to fingerprint environment; cannot open,钱包未绑定指纹环境，无法打开
wallet.open.started,Open-wallet task started,打开钱包任务已启动
wallet.open.failed,Open wallet failed,打开钱包失败
wallet.log.deleting,Deleting wallets:,删除钱包:
initWallets,Initialize Wallets,初始化钱包
deleteSelected,Delete Selected,删除选中
createWallet,Create Wallets,新建钱包
importWallet,Import Wallets,导入钱包
exportWallet,Export Wallets,导出钱包
setWalletScriptDirectory,Set Script,设置脚本
walletManager,Wallet Manager,钱包管理
walletList,Wallet List,钱包列表
noWallets,No wallets,暂无钱包
rebindEnv,Rebind Env,重新绑定环境
bindEnv,Bind Env,绑定环境
edit,Edit,编辑
viewDetail,View Detail,查看详情
open,Open,打开
chooseScriptDirectory,Choose Script Directory,选择脚本目录
setPath,Set Path,设置路径
walletDetail.id,"ID",ID
walletDetail.name,Name,名称
walletDetail.address,Address,地址
walletDetail.mnemonic,Mnemonic,助记词
walletDetail.privateKey,Private Key,私钥
walletDetail.createdAt,Created At,创建时间
walletDetail.bindEnvId,Bind Env ID,绑定环境ID
walletDetail.ethAddress,ETH Address,ETH地址
walletDetail.ethPrivateKey,ETH Private Key,ETH私钥
walletDetail.solAddress,SOL Address,SOL地址
walletDetail.solPrivateKey,SOL Private Key,SOL私钥
wallet.status.initialized,Initialized,已初始化
wallet.status.uninitialized,Uninitialized,未初始化
initSuccess,Initialization successful,初始化成功
initFailed,Initialization failed,初始化失败
wallet.status.notBound,Not bound to environment,未绑定环境
